JobTitle,JobCategory,Salary,Location,SkillsRequired,StartDate,JobSummary
IT Support Specialist,Technology and Data,£34000,Leeds,"['Version Control', 'Big Data Technologies', 'Machine Learning']",2025-03-15,You will have to provide technical support and troubleshooting for hardware and software issues.
Human Resources Assistant,Administrative,£31000,Birmingham,"['Employee Relations', 'Recruitment', 'HR Information Systems']",2025-09-08,"Support HR functions including recruitment, employee relations, and record-keeping."
Social Media Manager,Marketing and Creative,£33000,Leeds,"['User Research', 'Graphic Design', 'Digital Marketing']",2025-09-24,"Manage social media accounts and create content to engage with followers, and also analyse social media metrics and develop strategies for growth."
Investment Banking Analyst,Finance and Business,£29000,Newcastle,"['Market Research', 'Quantitative Analysis', 'Budgeting']",2025-04-01,You will assist in the evaluation of investment opportunities and financial transactions. You must also be proficient in conducting market research and financial modeling.
Content Writer,Marketing and Creative,£34000,Nottingham,"['Digital Marketing', 'Social Media Marketing', 'Analytics']",2024-10-22,"Create engaging written content for various platforms, including blogs, websites, and various social media platforms."
Electrical Engineer,Engineering and Science,£22000,Birmingham,"['Research Methodology', 'Engineering Design', 'Technical Writing']",2024-11-06,Design and implement electrical systems and components for working on projects involving power generation and electronics.
Recruitment Consultant,Administrative,£32000,Bristol,"['Performance Appraisal Systems', 'Training and Development', 'Organisational Skills']",2025-07-03,"Manage the recruitment process to attract and hire top talent. Develop job descriptions, screen candidates, and conduct interviews."
Software Developer,Technology and Data,£21000,Leeds,"['APIs', 'ETL', 'Django']",2025-07-29,"Develop and maintain software applications and systems, and write clean code in languages such as Python and JavaScript."
Social Media Manager,Marketing and Creative,£21000,Birmingham,"['Graphic Design', 'Content Management Systems', 'Analytics']",2025-02-04,"Manage social media accounts and create content to engage with followers, and also analyse social media metrics and develop strategies for growth."
Business Development Executive,Finance and Business,£26000,Sheffield,"['Risk Assessment', 'Financial Analysis', 'Bookkeeping']",2025-03-14,"Identify and develop new business opportunities to drive growth, and build relationships with clients and partners to expand the business."
Business Development Executive,Finance and Business,£22000,Leeds,"['Budgeting', 'Project Management', 'Business Strategy']",2025-04-17,"Identify and develop new business opportunities to drive growth, and build relationships with clients and partners to expand the business."
Human Resources Assistant,Administrative,£31000,Manchester,"['Employee Relations', 'Performance Appraisal Systems', 'Client Management']",2025-09-11,"Support HR functions including recruitment, employee relations, and record-keeping."
Marketing Executive,Marketing and Creative,£30000,Cambridge,"['Content Creation', 'SEO Optimisation', 'Digital Marketing']",2025-05-26,"Plan and execute marketing campaigns to promote products and services, through analysing market trends and tracking campaign performance."
Insurance Underwriter,Administrative,£31000,Cambridge,"['HR Information Systems', 'Conflict Resolution', 'Talent Acquisition']",2025-09-19,Evaluate insurance applications and determine coverage terms. Assess risk factors and decide on policy approval and pricing.
Operations Manager,Finance and Business,£34000,Manchester,"['Project Management', 'Financial Reporting', 'Analytical Skills']",2024-10-04,"Oversee daily operations of the organisation, ensuring efficiency and effectiveness to streamline processes."
Financial Analyst,Finance and Business,£26000,Cambridge,"['Budgeting', 'Analytical Skills', 'Excel']",2024-10-03,"Analyse financial data and create reports to support business decisions, and then develop financial models and forecasts to assess performance."
Systems Analyst,Technology and Data,£22000,Manchester,"['Django', 'Problem Solving', 'Docker']",2025-07-17,Evaluate and improve computer systems to enhance efficiency.
Sales Executive,Marketing and Creative,£33000,Bristol,"['Content Management Systems', 'Graphic Design', 'Analytics']",2025-04-21,Must be able to develop and execute sales strategies to meet business objectives.
Management Consultant,Administrative,£27000,London,"['Leadership', 'HR Information Systems', 'Performance Appraisal Systems']",2024-10-23,Analyse organisational practices and develop strategies to improve efficiency and effectiveness; then be able to provide recommendations for business improvements.
Risk Analyst,Finance and Business,£30000,Bristol,"['Regulatory Compliance', 'Reporting', 'Financial Modeling']",2025-07-25,You must be able to identify and assess potential risks to the organisation.
Research Scientist,Engineering and Science,£28000,Liverpool,"['Technical Writing', 'Product Development', 'Project Management Software']",2024-09-05,Conduct experiments and analyse data to advance scientific knowledge. You must be specialised in areas such as biology or physics.
Digital Marketing Specialist,Marketing and Creative,£29000,Bristol,"['Brand Strategy', 'SEO Optimisation', 'Google Analytics']",2024-10-06,"Implement digital marketing strategies, including SEO, PPC, and social media."
Biomedical Scientist,Engineering and Science,£22000,Birmingham,"['Data Analysis', 'Lab Techniques', 'Engineering Design']",2024-09-28,Conduct research and analyse biological samples to support medical and clinical studies.
Risk Analyst,Finance and Business,£27000,Nottingham,"['Financial Reporting', 'Market Research', 'Regulatory Compliance']",2025-08-03,You must be able to identify and assess potential risks to the organisation.
Product Designer,Marketing and Creative,£25000,Liverpool,"['Email Marketing', 'Social Media Marketing', 'Campaign Management']",2024-09-17,"Design and develop new products, from concept to production. You will work on product specifications and testing."
Data Scientist,Technology and Data,£23000,Leeds,"['JavaScript', 'Data Analysis', 'APIs']",2024-09-19,Apply statistical analysis and machine learning techniques to interpret data and provide actionable insights. Experience with tools such as Python and R is preferred.
Financial Analyst,Finance and Business,£31000,Bristol,"['Financial Modeling', 'Business Strategy', 'Reporting']",2025-06-05,"Analyse financial data and create reports to support business decisions, and then develop financial models and forecasts to assess performance."
Event Coordinator,Marketing and Creative,£28000,Nottingham,"['User Research', 'Google Analytics', 'SEO Optimisation']",2025-01-05,"Plan and execute events, ensuring all aspects run smoothly, managing event logistics and budgets."
Corporate Finance Analyst,Finance and Business,£28000,Newcastle,"['Analytical Skills', 'Financial Reporting', 'Budgeting']",2024-10-04,"Support corporate finance activities including budgeting, forecasting, and financial planning."
Sales Executive,Marketing and Creative,£29000,Newcastle,"['User Research', 'SEO Optimisation', 'PPC Advertising']",2024-11-24,Must be able to develop and execute sales strategies to meet business objectives.
Quantity Surveyor,Engineering and Science,£25000,Birmingham,"['Prototyping', 'Lab Techniques', 'Mechanical Design']",2025-01-19,"Manage costs and budgets for construction projects. Conduct cost estimation, financial reporting, and contract administration."
Event Coordinator,Marketing and Creative,£22000,Sheffield,"['Adobe Creative Suite', 'Content Management Systems', 'Campaign Management']",2025-08-22,"Plan and execute events, ensuring all aspects run smoothly, managing event logistics and budgets."
