JobTitle,JobCategory,Salary,Location,SkillsRequired,JobSummary
Investment Banking Analyst,Finance and Business,£22000,Manchester,"['Financial Forecasting', 'Analytical Skills', 'Financial Modeling']",You will assist in the evaluation of investment opportunities and financial transactions. You must also be proficient in conducting market research and financial modeling.
Logistics Coordinator,Administrative,£25000,Nottingham,"['Client Management', 'Performance Appraisal Systems', 'Training and Development']",Manage logistics and supply chain operations through coordinating shipments and tracking inventory.
Legal Assistant,Administrative,£25000,Sheffield,"['Leadership', 'Compliance Management', 'HR Information Systems']",Provide administrative support to legal teams and assist with legal research and document preparation
Teacher,Administrative,£32000,Newcastle,"['Recruitment', 'Compliance Management', 'Organisational Skills']","Plan and deliver educational lessons to students. You will develop lesson plans, assess student performance, and provide effective feedback."
Customer Service Manager,Administrative,£32000,Newcastle,"['Onboarding', 'Organisational Skills', 'HR Information Systems']",Oversee customer service operations to ensure high customer satisfaction. Manage customer service teams and resolve escalated issues.
UI Designer,Technology and Data,£29000,Cambridge,"['Django', 'Machine Learning', 'Problem Solving']","Create user-friendly interfaces and enhance user experience for websites and applications, expertise in design tools like Sketch and Adobe XD is necessaary."
Teacher,Administrative,£25000,Newcastle,"['Onboarding', 'Training and Development', 'Leadership']","Plan and deliver educational lessons to students. You will develop lesson plans, assess student performance, and provide effective feedback."
Health and Safety Advisor,Engineering and Science,£26000,London,"['Technical Writing', 'Data Analysis', 'CAD Software']",Develop and implement health and safety policies; conducting risk assessments and ensuring compliance with safety regulations.
Operations Manager,Finance and Business,£30000,London,"['Market Research', 'Reporting', 'Analytical Skills']","Oversee daily operations of the organisation, ensuring efficiency and effectiveness to streamline processes."
Operations Manager,Finance and Business,£32000,Newcastle,"['Risk Assessment', 'Analytical Skills', 'Project Management']","Oversee daily operations of the organisation, ensuring efficiency and effectiveness to streamline processes."
Business Analyst,Finance and Business,£30000,Bristol,"['Market Research', 'Regulatory Compliance', 'Quantitative Analysis']",Identify business needs and develop solutions to enhance processes and operations.
Biomedical Scientist,Engineering and Science,£30000,Sheffield,"['Technical Writing', 'Prototyping', 'CAD Software']",Conduct research and analyse biological samples to support medical and clinical studies.
Business Development Executive,Finance and Business,£23000,Bristol,"['Project Management', 'Quantitative Analysis', 'Financial Reporting']","Identify and develop new business opportunities to drive growth, and build relationships with clients and partners to expand the business."
Engineering Graduate,Engineering and Science,£28000,Bristol,"['Technical Writing', 'Lab Techniques', 'Simulation Software']",Assist in engineering projects and gain hands-on experience by supporting senior engineers in design and testing.
Financial Analyst,Finance and Business,£27000,Nottingham,"['Financial Forecasting', 'Financial Reporting', 'Market Research']","Analyse financial data and create reports to support business decisions, and then develop financial models and forecasts to assess performance."
Engineering Graduate,Engineering and Science,£26000,Newcastle,"['Project Management Software', 'Problem Solving', 'Technical Writing']",Assist in engineering projects and gain hands-on experience by supporting senior engineers in design and testing.
Mechanical Engineer,Engineering and Science,£35000,Cambridge,"['Engineering Design', 'Simulation Software', 'Technical Writing']","Design machinery and equipment, and troubleshoot engineering issues."
Biomedical Scientist,Engineering and Science,£28000,Manchester,"['Problem Solving', 'Prototyping', 'Regulatory Compliance']",Conduct research and analyse biological samples to support medical and clinical studies.
Customer Service Manager,Administrative,£20000,Nottingham,"['Talent Acquisition', 'Employee Relations', 'HR Information Systems']",Oversee customer service operations to ensure high customer satisfaction. Manage customer service teams and resolve escalated issues.
Mechanical Engineer,Engineering and Science,£31000,Nottingham,"['Problem Solving', 'CAD Software', 'Data Analysis']","Design machinery and equipment, and troubleshoot engineering issues."
Investment Banking Analyst,Finance and Business,£33000,Newcastle,"['Quantitative Analysis', 'Bookkeeping', 'Regulatory Compliance']",You will assist in the evaluation of investment opportunities and financial transactions. You must also be proficient in conducting market research and financial modeling.
Logistics Coordinator,Administrative,£22000,Nottingham,"['Office Management', 'Compliance Management', 'Communication']",Manage logistics and supply chain operations through coordinating shipments and tracking inventory.
Product Designer,Marketing and Creative,£25000,Leeds,"['Campaign Management', 'User Research', 'Digital Marketing']","Design and develop new products, from concept to production. You will work on product specifications and testing."
Quantity Surveyor,Engineering and Science,£31000,Sheffield,"['Finite Element Analysis', 'Mechanical Design', 'Technical Writing']","Manage costs and budgets for construction projects. Conduct cost estimation, financial reporting, and contract administration."
Risk Analyst,Finance and Business,£34000,Sheffield,"['Project Management', 'Reporting', 'Bookkeeping']",You must be able to identify and assess potential risks to the organisation.
Pharmaceutical Sales Representative,Engineering and Science,£33000,Leeds,"['Prototyping', 'Finite Element Analysis', 'Technical Writing']",Promote and sell pharmaceutical products to healthcare professionals by providing product information and building relationships with clients.
Data Analyst,Technology and Data,£30000,Sheffield,"['Version Control', 'ETL', 'SQL']","Analyse and interpret complex data sets to help organisations make informed decisions, utilising tools like SQL and other data sorting software."
